"Subject" "tBodyAcc_mean_X" "tBodyAcc_mean_Y" "tBodyAcc_mean_Z" "tBodyAcc_std_X" "tBodyAcc_std_Y" "tBodyAcc_std_Z" "tGravityAcc_mean_X" "tGravityAcc_mean_Y" "tGravityAcc_mean_Z" "tGravityAcc_std_X" "tGravityAcc_std_Y" "tGravityAcc_std_Z" "tBodyAccJerk_mean_X" "tBodyAccJerk_mean_Y" "tBodyAccJerk_mean_Z" "tBodyAccJerk_std_X" "tBodyAccJerk_std_Y" "tBodyAccJerk_std_Z" "tBodyGyro_mean_X" "tBodyGyro_mean_Y" "tBodyGyro_mean_Z" "tBodyGyro_std_X" "tBodyGyro_std_Y" "tBodyGyro_std_Z" "tBodyGyroJerk_mean_X" "tBodyGyroJerk_mean_Y" "tBodyGyroJerk_mean_Z" "tBodyGyroJerk_std_X" "tBodyGyroJerk_std_Y" "tBodyGyroJerk_std_Z" "tBodyAccMag_mean" "tBodyAccMag_std" "tGravityAccMag_mean" "tGravityAccMag_std" "tBodyAccJerkMag_mean" "tBodyAccJerkMag_std" "tBodyGyroMag_mean" "tBodyGyroMag_std" "tBodyGyroJerkMag_mean" "tBodyGyroJerkMag_std" "fBodyAcc_mean_X" "fBodyAcc_mean_Y" "fBodyAcc_mean_Z" "fBodyAcc_std_X" "fBodyAcc_std_Y" "fBodyAcc_std_Z" "fBodyAccJerk_mean_X" "fBodyAccJerk_mean_Y" "fBodyAccJerk_mean_Z" "fBodyAccJerk_std_X" "fBodyAccJerk_std_Y" "fBodyAccJerk_std_Z" "fBodyGyro_mean_X" "fBodyGyro_mean_Y" "fBodyGyro_mean_Z" "fBodyGyro_std_X" "fBodyGyro_std_Y" "fBodyGyro_std_Z" "fBodyAccMag_mean" "fBodyAccMag_std" "fBodyAccJerkMag_mean" "fBodyAccJerkMag_std" "fBodyGyroMag_mean" "fBodyGyroMag_std" "fBodyGyroJerkMag_mean" "fBodyGyroJerkMag_std" "Activity"
"1" 1 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 "WALKING"
"2" 2 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 "WALKING"
"3" 3 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 0.275567462068966 "WALKING"
"4" 4 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 0.278582015166667 "WALKING"
"5" 5 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 0.27784234625 "WALKING"
"6" 6 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 0.283658868070175 "WALKING"
"7" 7 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 0.275592961754386 "WALKING"
"8" 8 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 0.27468631 "WALKING"
"9" 9 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 0.278502842115385 "WALKING"
"10" 10 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 0.278574076603774 "WALKING"
